Entity,Code,Year_x,"GDP per capita, PPP (constant 2017 international $)",Harmonized national poverty line_y,Mean income or consumption,population_y,Poverty headcount ratio at national poverty lines (% of population),Latitude (generated),Longitude (generated),Continent
South Korea,KOR,2021,44299.91,25.09441846,,51830136,14.9,36.338,128.16,Asia
South Sudan,SSD,2021,,2.751764403,,10748278,82.3,7.1,30.48,Africa
Spain,ESP,2021,38319.29,22.09634266,48.287125,47486932,20.1,40.617,-3.388,Europe
Sri Lanka,LKA,2021,13250.63,2.661270444,,21773438,46.8,7.3,80.727,Asia
Sudan,SDN,2021,3701.069,3.58033006,,45657204,46.5,15.739,29.533,Africa
Sweden,SWE,2021,54160.367,30.72699594,58.837715,10467095,13.5,66.2188,19,Europe
Switzerland,CHE,2021,71044.87,36.27917991,,8691409,15,46.7794,8.0329,Europe
Syria,SYR,2021,,5.171827625,,21324366,30.1,35.303,38.322,Asia
Tajikistan,TJK,2021,3910.4626,4.009359606,,9750078,34.3,38.367,72.597,Asia
Tanzania,TZA,2021,2584.3977,1.623130406,,63588332,35.6,-5.651,34.146,Africa
Thailand,THA,2021,17087.21,5.724104054,16.55982,71601104,42.3,15.688,100.845,Asia
Togo,TGO,2021,2130.859,2.168935384,4.182062,8644829,45.5,7.7,1.106,Africa
Tonga,TON,2021,6142.9634,5.008327573,11.405179,106034,16.2,-21.167,-175.19,Oceania
Tunisia,TUN,2021,10395.913,6.461420721,14.5433,12262949,25.4,35.594,9.421,Africa
Turkey,TUR,2021,31722.16,7.631603354,27.719051,84775408,18.6,39.144,34.188,Asia
Tuvalu,TUV,2021,4604.402,4.155820023,,11229,26.3,-7.4786,178.6758,Oceania
Uganda,UGA,2021,2246.414,1.488135347,,45853780,38.8,1.9392,32.7415,Africa
Ukraine,UKR,2021,12949.326,4.806232212,,43531424,1.6,49.364,32.132,Europe
United Kingdom,GBR,2021,45567.57,25.76764396,55.160164,67281040,17,52.289,-1.259,Europe
United States,USA,2021,63635.824,34.78694957,87.60349,336997632,18,40.0792,-98.8164,North America
Uruguay,URY,2021,23257.256,8.294982422,27.020472,3426265,9.9,-32.948,-56.249,South America
Uzbekistan,UZB,2021,7800.5015,0.90506698,,34081452,15,41.757,63.958,Asia
Vanuatu,VUT,2021,2800.494,2.043225448,,319146,15.9,-15.339,166.89,Oceania
Venezuela,VEN,2021,,6.069738624,,28199862,41.6,6.983,-64.588,South America
Vietnam,VNM,2021,10628.22,4.020712548,,97468024,9.2,21.75,105.373,Asia
Yemen,YEM,2021,,3.36479689,,32981644,34.8,15.569,47.793,Asia
Zambia,ZMB,2021,3287.4204,1.779351968,,19473132,54.7,-15.13,25.268,Africa
Zimbabwe,ZWE,2021,2115.1445,2.014217555,,15993525,32.2,-19.098,30.047,Africa
